🕘️更新时间,#genre#
2026-04-13 06:57:24,https://iptv.catvod.com/live.php?id=CCTV1&line=11

📺央视频道,#genre#
东方卫视,http://123.118.56.249:8686/rtp/239.3.1.136:8032
东方卫视,http://115.171.80.124:1688/udp/225.1.8.45:8032
东方卫视,http://114.254.95.53:8888/rtp/239.3.1.136:8032
东方卫视,http://220.176.218.165:9000/udp/239.252.219.229:5140
东南卫视,http://154.37.212.176/ysp.php?pid=600002484&id=2024061503
东南卫视,http://115.171.216.23:4000/udp/225.1.8.79:8148
东南卫视,http://115.171.216.58:4000/udp/225.1.8.79:8148
东南卫视,http://114.254.95.53:8888/rtp/239.3.1.156:8148
东南卫视,http://124.112.240.249:4022/rtp/238.1.78.22:6104
东南卫视,http://39.77.26.138:4002/rtp/239.253.254.105:8000
东南卫视,http://123.118.56.249:8686/rtp/239.3.1.156:8148
东南卫视,http://115.171.80.124:1688/udp/225.1.8.79:8148
东南卫视,http://39.77.162.237:4002/rtp/239.253.254.105:8000
东南卫视,http://111.196.131.68:20000/rtp/239.3.1.156:8148
甘肃卫视,https://iptv.catvod.com/live.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86&line=1
甘肃卫视,http://154.37.212.176/ysp.php?pid=600190408&id=2025561703
甘肃卫视,http://220.176.218.165:9000/udp/239.252.219.140:5140
甘肃卫视,http://171.8.168.199:8800/rtp/239.16.20.102:11020
甘肃卫视,http://124.114.101.175:6789/rtp/239.112.205.48:5140
甘肃卫视,http://39.77.157.57:4002/rtp/239.253.254.74:8000
甘肃卫视,http://39.77.162.237:4002/rtp/239.253.254.74:8000
甘肃卫视,http://39.77.26.138:4002/rtp/239.253.254.74:8000
广西卫视,http://154.37.212.176/ysp.php?pid=600002509&id=2024060703
广西卫视,http://220.176.218.165:9000/udp/239.252.219.183:5140
广西卫视,http://171.8.168.199:8800/rtp/239.16.20.84:10840
广西卫视,http://124.114.101.175:6789/rtp/239.112.205.51:5140
广西卫视,http://114.254.95.53:8888/rtp/239.3.1.39:8300
广西卫视,http://106.116.240.15:9999/rtp/239.254.200.80:8300
广西卫视,http://171.119.205.232:6000/rtp/226.0.2.231:9760
广西卫视,http://39.77.26.138:4002/rtp/239.253.254.197:8000
广西卫视,http://39.77.162.237:4002/rtp/239.253.254.197:8000
广西卫视,http://106.59.2.140:55555/rtp/239.200.200.53:8280
贵州卫视,https://iptv.catvod.com/live.php?id=%E8%B4%B5%E5%B7%9E%E5%8D%AB%E8%A7%86&line=5
